support_ticket_id,support_ticket_desc,generated_summary,summary_eval_score,summary_eval_reasoning,generated_response,response_eval_score,response_eval_reasoning
1,"I cannot believe the level of service I have received. I have been a loyal ShopNest customer since 2020 and have spent thousands of dollars on this platform. I have recommended ShopNest to everyone I know - my coworkers, my neighbors, my entire book club. I have never once filed a complaint or asked for anything special. I always leave five star reviews and I tip delivery drivers generously. And THIS is how you treat your most loyal customers? I am beyond frustrated. I spent over three hours today trying to reach your support team and not a single person gave me a straight answer. Your chatbot is completely useless, your email support is nonexistent, and your phone line had a 40 minute hold time. I have screenshots of every single interaction. I will be filing a complaint with the Better Business Bureau if this is not resolved by end of day. Anyway. Order SNX-4421 for a Bosch dishwasher. Delivered wrong model. Want replacement.","Here's a summary of the customer support ticket:

*   **Core Problem:** Received incorrect product model for a dishwasher.
*   **Order ID:** SNX-4421
*   **Product:** Bosch dishwasher
*   **Customer Sentiment:** Extremely frustrated, disappointed, threatening BBB complaint.
*   **Additional Context:** Long-time loyal customer, multiple failed attempts to contact support (chatbot, email, phone hold times), has screenshots.
*   **Desired Resolution:** Replacement of the correct dishwasher model.",5.0,"The generated summary accurately captures all the critical information from the original support ticket, including the core issue, order ID, product details, customer sentiment, and desired resolution. It also correctly notes the customer's frustration with the support process and their intent to escalate to the BBB. The summary is complete and accurate.",Subject: Urgent: Resolution for your Bosch Dishwasher Order (SNX,1.0,"The proposed response is critically incomplete, cutting off mid-subject line. It fails to address the customer's significant frustration, their long-standing loyalty, or the specific request for a dishwasher replacement. Because it contains no actual body text or resolution steps, it is entirely ineffective."
2,"Ord SNX-8902 ACH debit failed at checkout, tried 2x. CC also declined. PayPal unavail for this item. Need NDD before the 15th. Card limit confirmed ok but txn still failing. Pls check PG logs and escalate. Alt PMT: can store credit from prev RMA be applied to this order? ASAP.","*   **Core Problem:** Payment failure at checkout (ACH debit and credit card declined).
*   **Technical Attributes:** Order ID: SNX-8902.
*   **Customer Sentiment:** Urgent, frustrated (""ASAP"").
*   **Additional Context:**
    *   ACH debit attempted twice.
    *   Credit card limit confirmed okay.
    *   PayPal unavailable for the item.
    *   Customer requires Next Day Delivery (NDD) before the 15th.
    *   Inquiry about applying store credit from a previous RMA.
*   **Action Requested:** Check payment gateway (PG) logs and escalate.",5.0,"The summary accurately captures all critical information from the original ticket, including the order number, the specific payment failures (ACH and CC), the attempted number of times, the unavailability of PayPal, the delivery requirement, the card limit confirmation, the request to check PG logs and escalate, and the inquiry about store credit. The sentiment is also correctly identified. The score is 5.",Subject: Urgent Assistance: Payment Issues & Store Credit for,1.0,"The proposed response is incomplete, consisting only of a subject line. It fails to address any of the customer's specific concerns, including the payment gateway failures, the request for escalation, the urgent delivery deadline, or the application of store credit from a previous RMA. As it stands, it provides no resolution or actionable information."
3,not working. please help.,"*   **Core Problem:** Unspecified technical issue.
*   **Technical Attributes:** None provided.
*   **Customer Sentiment:** Frustrated, urgent.",3.0,"The summary accurately identifies that the core problem is unspecified and that no technical attributes were provided. It also correctly infers customer sentiment. However, it fails to capture any specific details from the original ticket, which is extremely minimal. The score reflects the lack of detail extraction due to the input's lack of detail.",Subject: We’re here to help: Let’s get this,1.0,"The proposed response is incomplete, consisting only of a partial subject line that ends mid-sentence. It contains no message body, fails to ask for clarification on the vague issue reported, and provides no actionable steps for the customer. This is a critical failure in communication."
4,"Okay so I have genuinely had it with this company. Every single time I place an order something goes wrong. Last month it was a delayed delivery. The month before that it was a damaged product. Before that it was a wrong item sent. I have contacted support so many times I have lost count. Every single time I am told the issue will be resolved within 24 to 48 hours and it never is. I sit and wait and absolutely nothing happens. Then I have to follow up again and I get another sorry for the inconvenience. Sorry does not fix anything. I work full time and I do not have the bandwidth to keep chasing a company for basic service delivery. My colleagues have been telling me to switch platforms and honestly I am starting to think they are right. Order #SNX-9021, KitchenAid stand mixer, payment charged twice for the same order. Need one charge reversed immediately.","Here's the condensed summary of the customer support ticket:

*   **Core Problem:** Duplicate payment charge for a single order.
*   **Order ID:** SNX-9021
*   **Item:** KitchenAid stand mixer
*   **Customer Sentiment:** Extremely frustrated, high dissatisfaction, considering switching platforms due to repeated past issues (delayed delivery, damaged product, wrong item) and unresolved previous complaints.
*   **Urgency:** Immediate reversal of one charge requested.",5.0,"The generated summary accurately captures the core problem, order ID, item, customer sentiment, and urgency. It correctly identifies the immediate need for a charge reversal and highlights the customer's extreme frustration stemming from a pattern of past unresolved issues. All critical pieces of information from the original ticket are present and correctly interpreted.",Subject: Urgent: Resolution for Order #SNX-9,1.0,"The proposed response is incomplete and consists only of a partial subject line. It fails to address the customer's history of service failures, the specific double-charge issue for order #SNX-9021, or provide any actionable resolution. As it lacks a body, it provides no empathy, policy alignment, or clear next steps."
5,refund not received,"*   **Core Problem:** Refund not received.
*   **Customer Sentiment:** Negative.",3.0,"The summary accurately captures the core problem stated in the original ticket. However, it does not extract any specific details like order numbers, dates, or amounts, which would be crucial for a complete evaluation. The sentiment analysis is a reasonable inference but not explicitly stated in the original ticket.",Subject: Update regarding your refund request (Ticket #[Ticket Number]),1.0,"The proposed response is completely inadequate as it only contains a subject line with an unpopulated placeholder. It fails to address the customer's concern, provides no status update on the refund, and offers no next steps or empathetic acknowledgement of the issue."
6,"Hi. I placed an order for a laptop. It is a Dell. I ordered it last Monday I think or maybe Tuesday. The order number is in my email somewhere - I believe it is SNX-3310 or maybe SNX-3130, I am not completely sure. Delivery came two days later which I thought was great. But when I opened the box the laptop would not turn on at all. I tried charging it for over an hour. Nothing. I tried a different charger I had at home. Still nothing. My roommate who works in IT also took a look and said it sounds like a hardware defect straight out of the box. The outer box also had a small dent on one corner but I am not sure if that is relevant. I want to return it and get a replacement. Or maybe a refund. I am honestly not sure which option makes more sense for me. Can someone advise? Also is there a home pickup option because I do not have easy access to a drop off location.","Here's a summary of the customer's support ticket:

*   **Core Problem:** Laptop arrived non-functional (won't turn on, suspected hardware defect).
*   **Technical Attributes:**
    *   Product: Dell Laptop
    *   Order Number (Uncertain): SNX-3310 or SNX-3130
    *   Delivery Date: Approximately 2 days after order (last Monday/Tuesday)
*   **Customer Sentiment:** Frustrated, disappointed, seeking resolution (replacement or refund), unsure of best option.
*   **Additional Request:** Inquiring about home pickup for return due to accessibility issues.",5.0,"The summary accurately captures the core issue (non-functional laptop), key details like product type and uncertain order number, and the customer's desired resolution and additional requests. The uncertainty in the order number is correctly noted. The delivery timeframe is also approximated correctly. The sentiment is well-represented.",Subject: Support for your Dell Laptop Order (Order #SN,1.0,"The proposed response is incomplete and cuts off mid-sentence in the subject line. It fails to address the customer's technical issue, the request for advice on refund versus replacement, or the specific inquiry regarding home pickup options. As it provides no actionable information or empathetic engagement, it does not meet any quality standards."
7,ORDER SNX-6612 DELIVERED WRONG ITEM. I ORDERED NIKE RUNNING SHOES SIZE 11 AND THEY SENT SOME RANDOM SANDAL I HAVE NEVER EVEN HEARD OF. THIS IS THE THIRD WRONG ITEM THIS MONTH. I WANT MY SHOES OR A FULL REFUND. ALSO WHY IS THERE NO DIRECT PHONE NUMBER - YOUR CHATBOT IS COMPLETELY USELESS AND I AM DONE WITH IT.,"*   **Core Problem:** Incorrect item delivered.
*   **Order ID:** SNX-6612
*   **Details:** Ordered Nike running shoes (Size 11), received unknown brand sandals.
*   **Customer Sentiment:** Highly frustrated, angry.
*   **Additional Issues:** Previous incorrect orders (3 this month), poor customer service (useless chatbot, no phone number).
*   **Desired Resolution:** Correct shoes or full refund.",5.0,"The summary accurately captures all key details from the original ticket, including the order ID, the specific incorrect item received versus the item ordered, the customer's frustration, the history of similar issues, the complaint about customer service channels, and the desired resolution. The sentiment analysis is also appropriate.","Pipeline Error during customer generation phase: 429 POST https://generativelanguage.googleapis.com/v1beta/models/gemini-3-flash-preview:generateContent?%24alt=json%3Benum-encoding%3Dint: You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. 
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 5, model: gemini-3-flash
Please retry in 35.588531423s.",1.0,"The proposed response is a technical system error message (429 Quota Exceeded) rather than an actual communication to the customer. It fails to address the incorrect item received, the customer's history of repeated errors, or the request for a refund/replacement. It provides zero empathy and no actionable steps for the user, representing a total failure in the support process."
8,"Hello, good morning. I hope this message finds you well. I am reaching out today regarding a small matter pertaining to a recent order of mine. I do not wish to be a burden and I fully understand how busy your team must be. I simply wanted to follow up when you have a free moment as I have been waiting for a little while now. I appreciate everything your team does and I am grateful for your time. Warm regards.","*   **Core Problem:** Follow-up on a recent order.
*   **Technical Attributes:** None provided.
*   **Customer Sentiment:** Polite, patient, appreciative.",5.0,"The summary accurately captures the core problem (follow-up on a recent order) and the customer's sentiment (polite, patient, appreciative). It correctly notes that no technical attributes were provided in the original ticket. The summary is complete and accurate.","Pipeline Error during customer generation phase: 429 POST https://generativelanguage.googleapis.com/v1beta/models/gemini-3-flash-preview:generateContent?%24alt=json%3Benum-encoding%3Dint: You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. 
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 5, model: gemini-3-flash
Please retry in 35.326137943s.",1.0,"The proposed response is a raw technical error message (429 Quota Exceeded) rather than a customer-facing reply. It completely fails to address the customer's inquiry, lacks any professional tone or empathy, and provides no actionable information regarding the order status. This is a critical failure in the response generation process."
9,"hey so my package still hasnt shown up, its been like a week maybe more? the app says delivered but nothing came. checked with my neighbor and they didnt see anything either. pretty annoyed honestly. can someone look into this and either resend or refund me thanks","*   **Core Problem:** Package marked as delivered but not received.
*   **Technical Attributes:** None provided.
*   **Customer Sentiment:** Annoyed.",5.0,"The summary accurately captures the core problem (package not received despite being marked delivered), the customer's sentiment (annoyed), and correctly identifies that no technical attributes were provided in the original ticket. It is a complete and accurate representation of the provided ticket.","Pipeline Error during customer generation phase: 429 POST https://generativelanguage.googleapis.com/v1beta/models/gemini-3-flash-preview:generateContent?%24alt=json%3Benum-encoding%3Dint: You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. 
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 5, model: gemini-3-flash
Please retry in 35.062049136s.",1.0,"The proposed response is a raw technical system error message (429 Quota Exceeded) rather than a customer-facing reply. It fails to address the missing package, provides no empathy, and offers no resolution or next steps for the customer. This is a complete failure in communication."
10,"I want to be very clear about how disappointed I am with this entire experience. Two full weeks. Two weeks and I have received nothing but conflicting information and broken promises. I have called four separate times. Each agent told me something completely different. First it was a warehouse backlog. Then it was a carrier issue. Then I was told my address was incomplete - which is absolutely false because I have received over a dozen previous orders at this exact address without any issue whatsoever. I even emailed a screenshot of my confirmed address and was still told it was incorrect. The level of disorganization here is genuinely shocking. I have already contacted my state's consumer protection office and I am keeping a full record of every interaction. Order SNX-2201, Bose noise cancelling headphones, still not delivered after 14 days. Tracking has been frozen since day three.","Here's a summary of the customer support ticket:

*   **Core Problem:** Significant delivery delay and lack of accurate information.
*   **Technical Attributes:**
    *   Order ID: SNX-2201
    *   Item: Bose noise cancelling headphones
    *   Delivery Time: 14 days (2 weeks)
    *   Tracking Status: Frozen since day 3
*   **Customer Sentiment:** Extremely disappointed, frustrated, shocked by disorganization, has contacted consumer protection office, keeping a record of interactions.",5.0,"The summary accurately captures the core problem, technical details like order ID, item, delivery time, and tracking status. It also correctly identifies the customer's strong negative sentiment and their actions taken (contacting consumer protection). All key information from the original ticket is present and correctly represented.","Pipeline Error during customer generation phase: 429 POST https://generativelanguage.googleapis.com/v1beta/models/gemini-3-flash-preview:generateContent?%24alt=json%3Benum-encoding%3Dint: You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. 
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 5, model: gemini-3-flash
Please retry in 34.79627408s.",1.0,"The proposed response is a technical system error message (API quota exceeded) rather than an actual communication to the customer. It fails to address the customer's significant frustration, the 14-day delay, the conflicting information provided by previous agents, or the specific order details. It provides zero empathy, violates all professional standards, and offers no resolution pathway for the customer's issue."
